iter	Passed	Remaining
1465	8059	24927
1466	8065	24922
1467	8070	24915
1468	8075	24907
1469	8081	24903
1470	8086	24896
1471	8091	24888
1472	8097	24885
1473	8103	24881
1474	8108	24875
1475	8113	24867
1476	8119	24864
1477	8125	24860
1478	8131	24854
1479	8136	24848
1480	8141	24841
1481	8146	24834
1482	8152	24830
1483	8158	24826
1484	8163	24821
1485	8169	24816
1486	8175	24811
1487	8181	24808
1488	8187	24803
1489	8192	24798
1490	8198	24793
1491	8203	24785
1492	8208	24779
1493	8214	24774
1494	8219	24768
1495	8225	24763
1496	8230	24756
1497	8235	24751
1498	8241	24746
1499	8246	24740
1500	8251	24733
1501	8257	24729
1502	8263	24725
1503	8269	24720
1504	8275	24717
1505	8281	24711
1506	8286	24704
1507	8291	24698
1508	8297	24693
1509	8301	24685
1510	8307	24679
1511	8313	24675
1512	8319	24671
1513	8324	24664
1514	8329	24658
1515	8334	24650
1516	8340	24647
1517	8345	24639
1518	8350	24635
1519	8356	24628
1520	8361	24621
1521	8366	24615
1522	8371	24609
1523	8376	24603
1524	8382	24597
1525	8388	24593
1526	8393	24586
1527	8397	24577
1528	8403	24571
1529	8408	24565
1530	8414	24561
1531	8418	24553
1532	8424	24547
1533	8429	24542
1534	8434	24534
1535	8440	24531
1536	8446	24524
1537	8451	24519
1538	8457	24515
1539	8464	24512
1540	8468	24504
1541	8474	24500
1542	8480	24495
1543	8485	24488
1544	8491	24486
1545	8496	24479
1546	8501	24472
1547	8507	24467
1548	8512	24460
1549	8517	24453
1550	8522	24447
1551	8528	24441
1552	8532	24433
1553	8537	24427
1554	8543	24421
1555	8549	24417
1556	8555	24412
1557	8560	24407
1558	8565	24399
1559	8571	24395
1560	8576	24390
1561	8582	24384
1562	8588	24379
1563	8593	24374
1564	8599	24370
1565	8605	24366
1566	8611	24362
1567	8616	24355
1568	8622	24349
1569	8626	24341
1570	8631	24333
1571	8637	24329
1572	8642	24323
1573	8647	24315
1574	8652	24309
1575	8657	24302
1576	8662	24296
1577	8667	24288
1578	8672	24281
1579	8676	24272
1580	8682	24269
1581	8687	24262
1582	8693	24256
1583	8698	24250
1584	8703	24244
1585	8708	24236
1586	8713	24231
1587	8719	24224
1588	8724	24219
1589	8730	24213
1590	8735	24208
1591	8741	24202
1592	8746	24197
1593	8752	24193
1594	8757	24186
1595	8763	24180
1596	8768	24176
1597	8775	24173
1598	8780	24167
1599	8787	24164
1600	8793	24162
1601	8799	24157
1602	8804	24151
1603	8811	24148
1604	8816	24142
1605	8820	24133
1606	8826	24129
1607	8831	24122
1608	8837	24116
1609	8842	24110
1610	8847	24104
1611	8852	24097
1612	8857	24090
1613	8861	24082
1614	8867	24077
1615	8874	24075
1616	8880	24071
1617	8886	24065
1618	8890	24058
1619	8895	24051
1620	8901	24045
1621	8905	24036
1622	8910	24031
1623	8916	24025
1624	8921	24020
1625	8926	24012
1626	8931	24005
1627	8936	23998
1628	8941	23992
1629	8946	23984
1630	8951	23979
1631	8956	23972
1632	8961	23964
1633	8966	23958
1634	8971	23951
1635	8976	23945
1636	8982	23941
1637	8987	23935
1638	8993	23929
1639	8998	23923
1640	9004	23918
1641	9008	23909
1642	9013	23903
1643	9019	23898
1644	9025	23893
1645	9030	23888
1646	9035	23882
1647	9041	23877
1648	9046	23870
1649	9052	23865
1650	9057	23858
1651	9062	23853
1652	9067	23845
1653	9073	23841
1654	9079	23836
1655	9085	23833
1656	9090	23826
1657	9096	23821
1658	9101	23816
1659	9107	23812
1660	9112	23804
1661	9118	23800
1662	9124	23795
1663	9128	23787
1664	9133	23781
1665	9139	23774
1666	9144	23769
1667	9151	23767
1668	9156	23761
1669	9162	23757
1670	9167	23750
1671	9172	23744
1672	9178	23737
1673	9184	23734
1674	9189	23728
1675	9194	23722
1676	9199	23715
